Bits,Network mask,Host Totales,Class,Network Address,Usable Host Range,Broadcast Address
1,128.0.0.0,"2,147,483,646",S,,,
2,192.0.0.0,"1,073,741,822",S,,,
3,224.0.0.0,"536,870,910",S,,,
4,240.0.0.0,"268,435,454",S,,,
5,248.0.0.0,"134,217,726",S,,,
6,252.0.0.0,"67,108,862",S,,,
7,254.0.0.0,"33,554,430",S,,,
8,255.0.0.0,"16,777,214",A,,,
9,255.128.0.0,"8,388,606",A,,,
10,255.192.0.0,"4,194,302",A,,,
11,255.224.0.0,"2,097,150",A,,,
12,255.240.0.0,"1,048,574",A,,,
13,255.248.0.0,"524,286",A,,,
14,255.252.0.0,"262,142",A,,,
15,255.254.0.0,"131,070",A,,,
16,255.255.0.0,"65,534",B,,,
17,255.255.128.0,"32,766",B,193.168.0.0,193.168.0.1 - 193.168.127.254,193.168.127.255
17,255.255.128.1,"32,766",B,193.168.128.0,193.168.128.1 - 193.168.255.254,193.168.255.255
18,255.255.192.0,"16,382",B,193.168.0.0,193.168.0.1 - 193.168.63.254,193.168.63.255
18,255.255.192.1,"16,382",B,193.168.64.0,193.168.64.1 - 193.168.127.254,193.168.127.255
18,255.255.192.2,"16,382",B,193.168.128.0,193.168.128.1 - 193.168.191.254,193.168.191.255
18,255.255.192.3,"16,382",B,193.168.192.0,193.168.192.1 - 193.168.255.254,193.168.255.255
19,255.255.224.0,"8,190",B,193.168.0.0,193.168.0.1 - 193.168.31.254,193.168.31.255
19,255.255.224.1,"8,190",B,193.168.32.0,193.168.32.1 - 193.168.63.254,193.168.63.255
19,255.255.224.2,"8,190",B,193.168.64.0,193.168.64.1 - 193.168.95.254,193.168.95.255
19,255.255.224.3,"8,190",B,193.168.96.0,193.168.96.1 - 193.168.127.254,193.168.127.255
19,255.255.224.4,"8,190",B,193.168.128.0,193.168.128.1 - 193.168.159.254,193.168.159.255
19,255.255.224.5,"8,190",B,193.168.160.0,193.168.160.1 - 193.168.191.254,193.168.191.255
19,255.255.224.6,"8,190",B,193.168.192.0,193.168.192.1 - 193.168.223.254,193.168.223.255
19,255.255.224.7,"8,190",B,193.168.224.0,193.168.224.1 - 193.168.255.254,193.168.255.255
20,255.255.240.0,"4,094",B,193.168.0.0,193.168.0.1 - 193.168.15.254,193.168.15.255
20,255.255.240.1,"4,094",B,193.168.16.0,193.168.16.1 - 193.168.31.254,193.168.31.255
20,255.255.240.2,"4,094",B,193.168.32.0,193.168.32.1 - 193.168.47.254,193.168.47.255
20,255.255.240.3,"4,094",B,193.168.48.0,193.168.48.1 - 193.168.63.254,193.168.63.255
20,255.255.240.4,"4,094",B,193.168.64.0,193.168.64.1 - 193.168.79.254,193.168.79.255
20,255.255.240.5,"4,094",B,193.168.80.0,193.168.80.1 - 193.168.95.254,193.168.95.255
20,255.255.240.6,"4,094",B,193.168.96.0,193.168.96.1 - 193.168.111.254,193.168.111.255
20,255.255.240.7,"4,094",B,193.168.112.0,193.168.112.1 - 193.168.127.254,193.168.127.255
20,255.255.240.8,"4,094",B,193.168.128.0,193.168.128.1 - 193.168.143.254,193.168.143.255
20,255.255.240.9,"4,094",B,193.168.144.0,193.168.144.1 - 193.168.159.254,193.168.159.255
20,255.255.240.10,"4,094",B,193.168.160.0,193.168.160.1 - 193.168.175.254,193.168.175.255
20,255.255.240.11,"4,094",B,193.168.176.0,193.168.176.1 - 193.168.191.254,193.168.191.255
20,255.255.240.12,"4,094",B,193.168.192.0,193.168.192.1 - 193.168.207.254,193.168.207.255
20,255.255.240.13,"4,094",B,193.168.208.0,193.168.208.1 - 193.168.223.254,193.168.223.255
20,255.255.240.14,"4,094",B,193.168.224.0,193.168.224.1 - 193.168.239.254,193.168.239.255
20,255.255.240.15,"4,094",B,193.168.240.0,193.168.240.1 - 193.168.255.254,193.168.255.255
21,255.255.248.0,"2,046",B,193.168.0.0,193.168.0.1 - 193.168.7.254,193.168.7.255
21,255.255.248.1,"2,046",B,193.168.8.0,193.168.8.1 - 193.168.15.254,193.168.15.255
21,255.255.248.2,"2,046",B,193.168.16.0,193.168.16.1 - 193.168.23.254,193.168.23.255
21,255.255.248.3,"2,046",B,193.168.24.0,193.168.24.1 - 193.168.31.254,193.168.31.255
21,255.255.248.4,"2,046",B,193.168.32.0,193.168.32.1 - 193.168.39.254,193.168.39.255
21,255.255.248.5,"2,046",B,193.168.40.0,193.168.40.1 - 193.168.47.254,193.168.47.255
21,255.255.248.6,"2,046",B,193.168.48.0,193.168.48.1 - 193.168.55.254,193.168.55.255
21,255.255.248.7,"2,046",B,193.168.56.0,193.168.56.1 - 193.168.63.254,193.168.63.255
21,255.255.248.8,"2,046",B,193.168.64.0,193.168.64.1 - 193.168.71.254,193.168.71.255
21,255.255.248.9,"2,046",B,193.168.72.0,193.168.72.1 - 193.168.79.254,193.168.79.255
21,255.255.248.10,"2,046",B,193.168.80.0,193.168.80.1 - 193.168.87.254,193.168.87.255
21,255.255.248.11,"2,046",B,193.168.88.0,193.168.88.1 - 193.168.95.254,193.168.95.255
21,255.255.248.12,"2,046",B,193.168.96.0,193.168.96.1 - 193.168.103.254,193.168.103.255
21,255.255.248.13,"2,046",B,193.168.104.0,193.168.104.1 - 193.168.111.254,193.168.111.255
21,255.255.248.14,"2,046",B,193.168.112.0,193.168.112.1 - 193.168.119.254,193.168.119.255
21,255.255.248.15,"2,046",B,193.168.120.0,193.168.120.1 - 193.168.127.254,193.168.127.255
21,255.255.248.16,"2,046",B,193.168.128.0,193.168.128.1 - 193.168.135.254,193.168.135.255
21,255.255.248.17,"2,046",B,193.168.136.0,193.168.136.1 - 193.168.143.254,193.168.143.255
21,255.255.248.18,"2,046",B,193.168.144.0,193.168.144.1 - 193.168.151.254,193.168.151.255
21,255.255.248.19,"2,046",B,193.168.152.0,193.168.152.1 - 193.168.159.254,193.168.159.255
21,255.255.248.20,"2,046",B,193.168.160.0,193.168.160.1 - 193.168.167.254,193.168.167.255
21,255.255.248.21,"2,046",B,193.168.168.0,193.168.168.1 - 193.168.175.254,193.168.175.255
21,255.255.248.22,"2,046",B,193.168.176.0,193.168.176.1 - 193.168.183.254,193.168.183.255
21,255.255.248.23,"2,046",B,193.168.184.0,193.168.184.1 - 193.168.191.254,193.168.191.255
21,255.255.248.24,"2,046",B,193.168.192.0,193.168.192.1 - 193.168.199.254,193.168.199.255
21,255.255.248.25,"2,046",B,193.168.200.0,193.168.200.1 - 193.168.207.254,193.168.207.255
